Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Daily global solar exposure (MJ/m*m)
IDCJAC0016,92157,2021,4,22,112,10.2
IDCJAC0016,92157,2021,4,23,113,7.5
IDCJAC0016,92157,2021,4,24,114,7.8
IDCJAC0016,92157,2021,4,25,115,8.2
IDCJAC0016,92157,2021,4,26,116,9.7
IDCJAC0016,92157,2021,4,27,117,10.7
IDCJAC0016,92157,2021,4,28,118,9.6
IDCJAC0016,92157,2021,4,29,119,7.5
IDCJAC0016,92157,2021,4,30,120,9.7
IDCJAC0016,92157,2021,5,1,121,8.9
IDCJAC0016,92157,2021,5,2,122,8.8
IDCJAC0016,92157,2021,5,3,123,3.5
IDCJAC0016,92157,2021,5,4,124,9.9
IDCJAC0016,92157,2021,5,5,125,9.7
IDCJAC0016,92157,2021,5,6,126,6.6
IDCJAC0016,92157,2021,5,7,127,8.2
IDCJAC0016,92157,2021,5,8,128,6.7
IDCJAC0016,92157,2021,5,9,129,9
IDCJAC0016,92157,2021,5,10,130,4.9
IDCJAC0016,92157,2021,5,11,131,6.6
IDCJAC0016,92157,2021,5,12,132,6.2
IDCJAC0016,92157,2021,5,13,133,2.3
IDCJAC0016,92157,2021,5,14,134,6.7
IDCJAC0016,92157,2021,5,15,135,8.3
IDCJAC0016,92157,2021,5,16,136,8.2
IDCJAC0016,92157,2021,5,17,137,8.3
IDCJAC0016,92157,2021,5,18,138,8.4
IDCJAC0016,92157,2021,5,19,139,3.6
IDCJAC0016,92157,2021,5,20,140,7.7
IDCJAC0016,92157,2021,5,21,141,8
IDCJAC0016,92157,2021,5,22,142,8
IDCJAC0016,92157,2021,5,23,143,7.3
IDCJAC0016,92157,2021,5,24,144,5.2
IDCJAC0016,92157,2021,5,25,145,1.6
IDCJAC0016,92157,2021,5,26,146,7.1
IDCJAC0016,92157,2021,5,27,147,5.8
IDCJAC0016,92157,2021,5,28,148,6.7
IDCJAC0016,92157,2021,5,29,149,4.1
IDCJAC0016,92157,2021,5,30,150,4.4
IDCJAC0016,92157,2021,5,31,151,7.4
IDCJAC0016,92157,2021,6,1,152,4.3
IDCJAC0016,92157,2021,6,2,153,6.7
IDCJAC0016,92157,2021,6,3,154,6.1
IDCJAC0016,92157,2021,6,4,155,7.3
IDCJAC0016,92157,2021,6,5,156,3.7
IDCJAC0016,92157,2021,6,6,157,5.6
IDCJAC0016,92157,2021,6,7,158,3.5
IDCJAC0016,92157,2021,6,8,159,3.2
IDCJAC0016,92157,2021,6,9,160,2
IDCJAC0016,92157,2021,6,10,161,1.1
IDCJAC0016,92157,2021,6,11,162,1.1
IDCJAC0016,92157,2021,6,12,163,2.5
IDCJAC0016,92157,2021,6,13,164,3.1
IDCJAC0016,92157,2021,6,14,165,3.5
IDCJAC0016,92157,2021,6,15,166,4.1
IDCJAC0016,92157,2021,6,16,167,4.3
IDCJAC0016,92157,2021,6,17,168,2.4
IDCJAC0016,92157,2021,6,18,169,5.4
IDCJAC0016,92157,2021,6,19,170,6.2
IDCJAC0016,92157,2021,6,20,171,5.6
IDCJAC0016,92157,2021,6,21,172,6.8
IDCJAC0016,92157,2021,6,22,173,6.5
IDCJAC0016,92157,2021,6,23,174,3.7
IDCJAC0016,92157,2021,6,24,175,6.2
IDCJAC0016,92157,2021,6,25,176,5.6
IDCJAC0016,92157,2021,6,26,177,7.1
IDCJAC0016,92157,2021,6,27,178,7
IDCJAC0016,92157,2021,6,28,179,7.2
IDCJAC0016,92157,2021,6,29,180,7.2
IDCJAC0016,92157,2021,6,30,181,7.1
IDCJAC0016,92157,2021,7,1,182,6.9
IDCJAC0016,92157,2021,7,2,183,3.1
IDCJAC0016,92157,2021,7,3,184,6.1
IDCJAC0016,92157,2021,7,4,185,6.1
IDCJAC0016,92157,2021,7,5,186,7.4
IDCJAC0016,92157,2021,7,6,187,4.6
IDCJAC0016,92157,2021,7,7,188,7.3
IDCJAC0016,92157,2021,7,8,189,5.5
IDCJAC0016,92157,2021,7,9,190,7.6
IDCJAC0016,92157,2021,7,10,191,7.7
IDCJAC0016,92157,2021,7,11,192,7.7
IDCJAC0016,92157,2021,7,12,193,3
IDCJAC0016,92157,2021,7,13,194,7.8
IDCJAC0016,92157,2021,7,14,195,3.8
IDCJAC0016,92157,2021,7,15,196,3.9
IDCJAC0016,92157,2021,7,16,197,4.9
IDCJAC0016,92157,2021,7,17,198,7.3
IDCJAC0016,92157,2021,7,18,199,8
IDCJAC0016,92157,2021,7,19,200,5.8
IDCJAC0016,92157,2021,7,20,201,4.9
IDCJAC0016,92157,2021,7,21,202,8.2
IDCJAC0016,92157,2021,7,22,203,8.1
IDCJAC0016,92157,2021,7,23,204,6.3
IDCJAC0016,92157,2021,7,24,205,5.1
IDCJAC0016,92157,2021,7,25,206,8.6
IDCJAC0016,92157,2021,7,26,207,7.2
IDCJAC0016,92157,2021,7,27,208,7.4
IDCJAC0016,92157,2021,7,28,209,8.4
IDCJAC0016,92157,2021,7,29,210,8.7
IDCJAC0016,92157,2021,7,30,211,6.8
IDCJAC0016,92157,2021,7,31,212,7.5
IDCJAC0016,92157,2021,8,1,213,9.5
IDCJAC0016,92157,2021,8,2,214,9.2
IDCJAC0016,92157,2021,8,3,215,7.5
IDCJAC0016,92157,2021,8,4,216,8.2
IDCJAC0016,92157,2021,8,5,217,7.4
IDCJAC0016,92157,2021,8,6,218,9.7
IDCJAC0016,92157,2021,8,7,219,8.3
IDCJAC0016,92157,2021,8,8,220,10
IDCJAC0016,92157,2021,8,9,221,9.3
IDCJAC0016,92157,2021,8,10,222,4.5
IDCJAC0016,92157,2021,8,11,223,6.3
IDCJAC0016,92157,2021,8,12,224,10.2
IDCJAC0016,92157,2021,8,13,225,9.9
IDCJAC0016,92157,2021,8,14,226,10.2
IDCJAC0016,92157,2021,8,15,227,9
IDCJAC0016,92157,2021,8,16,228,9.9
IDCJAC0016,92157,2021,8,17,229,9.4
IDCJAC0016,92157,2021,8,18,230,9.4
IDCJAC0016,92157,2021,8,19,231,11.3
IDCJAC0016,92157,2021,8,20,232,5.8
IDCJAC0016,92157,2021,8,21,233,11.9
IDCJAC0016,92157,2021,8,22,234,7.6
IDCJAC0016,92157,2021,8,23,235,5.6
IDCJAC0016,92157,2021,8,24,236,12.4
IDCJAC0016,92157,2021,8,25,237,7.5
IDCJAC0016,92157,2021,8,26,238,6.7
IDCJAC0016,92157,2021,8,27,239,5
IDCJAC0016,92157,2021,8,28,240,7.7
IDCJAC0016,92157,2021,8,29,241,7.7
IDCJAC0016,92157,2021,8,30,242,10.9
IDCJAC0016,92157,2021,8,31,243,9.5
IDCJAC0016,92157,2021,9,1,244,13.7
IDCJAC0016,92157,2021,9,2,245,14.1
IDCJAC0016,92157,2021,9,3,246,2.8
IDCJAC0016,92157,2021,9,4,247,12.3
IDCJAC0016,92157,2021,9,5,248,13.3
IDCJAC0016,92157,2021,9,6,249,14.6
IDCJAC0016,92157,2021,9,7,250,14.2
IDCJAC0016,92157,2021,9,8,251,14.9
IDCJAC0016,92157,2021,9,9,252,9
IDCJAC0016,92157,2021,9,10,253,13.5
IDCJAC0016,92157,2021,9,11,254,14.5
IDCJAC0016,92157,2021,9,12,255,15.3
IDCJAC0016,92157,2021,9,13,256,10.1
IDCJAC0016,92157,2021,9,14,257,12.9
IDCJAC0016,92157,2021,9,15,258,6.7
IDCJAC0016,92157,2021,9,16,259,14
IDCJAC0016,92157,2021,9,17,260,12.8
IDCJAC0016,92157,2021,9,18,261,15.8
IDCJAC0016,92157,2021,9,19,262,15.7
IDCJAC0016,92157,2021,9,20,263,16.6
IDCJAC0016,92157,2021,9,21,264,14.1
IDCJAC0016,92157,2021,9,22,265,18.1
IDCJAC0016,92157,2021,9,23,266,15.2
IDCJAC0016,92157,2021,9,24,267,15.5
IDCJAC0016,92157,2021,9,25,268,13.7
IDCJAC0016,92157,2021,9,26,269,18.6
IDCJAC0016,92157,2021,9,27,270,18.7
IDCJAC0016,92157,2021,9,28,271,11.2
IDCJAC0016,92157,2021,9,29,272,9.2
IDCJAC0016,92157,2021,9,30,273,4.7
IDCJAC0016,92157,2021,10,1,274,5
IDCJAC0016,92157,2021,10,2,275,7.7
IDCJAC0016,92157,2021,10,3,276,14.5
IDCJAC0016,92157,2021,10,4,277,13.3
IDCJAC0016,92157,2021,10,5,278,14.5
IDCJAC0016,92157,2021,10,6,279,19.9
IDCJAC0016,92157,2021,10,7,280,19.8
IDCJAC0016,92157,2021,10,8,281,20.1
IDCJAC0016,92157,2021,10,9,282,13.8
IDCJAC0016,92157,2021,10,10,283,18
IDCJAC0016,92157,2021,10,11,284,18.5
IDCJAC0016,92157,2021,10,12,285,19.8
IDCJAC0016,92157,2021,10,13,286,8.5
IDCJAC0016,92157,2021,10,14,287,5.9
IDCJAC0016,92157,2021,10,15,288,11
IDCJAC0016,92157,2021,10,16,289,14.9
IDCJAC0016,92157,2021,10,17,290,18.1
IDCJAC0016,92157,2021,10,18,291,15.7
IDCJAC0016,92157,2021,10,19,292,12.9
IDCJAC0016,92157,2021,10,20,293,17.6
IDCJAC0016,92157,2021,10,21,294,23.4
IDCJAC0016,92157,2021,10,22,295,11.2
IDCJAC0016,92157,2021,10,23,296,4.4
IDCJAC0016,92157,2021,10,24,297,10.8
IDCJAC0016,92157,2021,10,25,298,9.5
IDCJAC0016,92157,2021,10,26,299,18.6
IDCJAC0016,92157,2021,10,27,300,25.7
IDCJAC0016,92157,2021,10,28,301,12.6
IDCJAC0016,92157,2021,10,29,302,3.3
IDCJAC0016,92157,2021,10,30,303,21.6
IDCJAC0016,92157,2021,10,31,304,24.7
IDCJAC0016,92157,2021,11,1,305,19.1
IDCJAC0016,92157,2021,11,2,306,26.8
IDCJAC0016,92157,2021,11,3,307,8.2
IDCJAC0016,92157,2021,11,4,308,26.2
IDCJAC0016,92157,2021,11,5,309,19.3
IDCJAC0016,92157,2021,11,6,310,17.6
IDCJAC0016,92157,2021,11,7,311,20
IDCJAC0016,92157,2021,11,8,312,21.8
IDCJAC0016,92157,2021,11,9,313,14.7
IDCJAC0016,92157,2021,11,10,314,8.7
IDCJAC0016,92157,2021,11,11,315,19.8
IDCJAC0016,92157,2021,11,12,316,10.9
IDCJAC0016,92157,2021,11,13,317,12.1
IDCJAC0016,92157,2021,11,14,318,15.6
IDCJAC0016,92157,2021,11,15,319,24.7
IDCJAC0016,92157,2021,11,16,320,21
IDCJAC0016,92157,2021,11,17,321,24.9
IDCJAC0016,92157,2021,11,18,322,4.3
IDCJAC0016,92157,2021,11,19,323,24.2
IDCJAC0016,92157,2021,11,20,324,13.7
IDCJAC0016,92157,2021,11,21,325,15.8
IDCJAC0016,92157,2021,11,22,326,18.5
IDCJAC0016,92157,2021,11,23,327,25.7
IDCJAC0016,92157,2021,11,24,328,21.2
IDCJAC0016,92157,2021,11,25,329,17.9
IDCJAC0016,92157,2021,11,26,330,17.4
IDCJAC0016,92157,2021,11,27,331,30.6
IDCJAC0016,92157,2021,11,28,332,30.9
IDCJAC0016,92157,2021,11,29,333,30.8
IDCJAC0016,92157,2021,11,30,334,31
IDCJAC0016,92157,2021,12,1,335,25.9
IDCJAC0016,92157,2021,12,2,336,23.7
IDCJAC0016,92157,2021,12,3,337,16.7
IDCJAC0016,92157,2021,12,4,338,22.5
IDCJAC0016,92157,2021,12,5,339,31
IDCJAC0016,92157,2021,12,6,340,19.5
IDCJAC0016,92157,2021,12,7,341,4.7
IDCJAC0016,92157,2021,12,8,342,21.4
IDCJAC0016,92157,2021,12,9,343,25
IDCJAC0016,92157,2021,12,10,344,10.4
IDCJAC0016,92157,2021,12,11,345,10.3
IDCJAC0016,92157,2021,12,12,346,16.3
IDCJAC0016,92157,2021,12,13,347,29.3
IDCJAC0016,92157,2021,12,14,348,14.6
IDCJAC0016,92157,2021,12,15,349,14.9
IDCJAC0016,92157,2021,12,16,350,24
IDCJAC0016,92157,2021,12,17,351,29.9
IDCJAC0016,92157,2021,12,18,352,30.9
IDCJAC0016,92157,2021,12,19,353,21.7
IDCJAC0016,92157,2021,12,20,354,18.6
IDCJAC0016,92157,2021,12,21,355,31.4
IDCJAC0016,92157,2021,12,22,356,23.4
IDCJAC0016,92157,2021,12,23,357,25.6
IDCJAC0016,92157,2021,12,24,358,23.8
IDCJAC0016,92157,2021,12,25,359,27.5
IDCJAC0016,92157,2021,12,26,360,23
IDCJAC0016,92157,2021,12,27,361,30
IDCJAC0016,92157,2021,12,28,362,31.8
IDCJAC0016,92157,2021,12,29,363,23.7
IDCJAC0016,92157,2021,12,30,364,28.3
IDCJAC0016,92157,2021,12,31,365,31.8
