Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Daily global solar exposure (MJ/m*m)
IDCJAC0016,94020,2021,1,1,1,20.1
IDCJAC0016,94020,2021,1,2,2,17.4
IDCJAC0016,94020,2021,1,3,3,23.8
IDCJAC0016,94020,2021,1,4,4,19.6
IDCJAC0016,94020,2021,1,5,5,24.1
IDCJAC0016,94020,2021,1,6,6,18.5
IDCJAC0016,94020,2021,1,7,7,31.1
IDCJAC0016,94020,2021,1,8,8,31.4
IDCJAC0016,94020,2021,1,9,9,29.4
IDCJAC0016,94020,2021,1,10,10,29.9
IDCJAC0016,94020,2021,1,11,11,21.3
IDCJAC0016,94020,2021,1,12,12,17.6
IDCJAC0016,94020,2021,1,13,13,26.9
IDCJAC0016,94020,2021,1,14,14,21.5
IDCJAC0016,94020,2021,1,15,15,10.7
IDCJAC0016,94020,2021,1,16,16,18.2
IDCJAC0016,94020,2021,1,17,17,14.1
IDCJAC0016,94020,2021,1,18,18,14.1
IDCJAC0016,94020,2021,1,19,19,21.9
IDCJAC0016,94020,2021,1,20,20,30.2
IDCJAC0016,94020,2021,1,21,21,24.2
IDCJAC0016,94020,2021,1,22,22,11.4
IDCJAC0016,94020,2021,1,23,23,26.7
IDCJAC0016,94020,2021,1,24,24,27.8
IDCJAC0016,94020,2021,1,25,25,15.3
IDCJAC0016,94020,2021,1,26,26,12.2
IDCJAC0016,94020,2021,1,27,27,14.9
IDCJAC0016,94020,2021,1,28,28,23.7
IDCJAC0016,94020,2021,1,29,29,12.3
IDCJAC0016,94020,2021,1,30,30,16.9
IDCJAC0016,94020,2021,1,31,31,18.3
IDCJAC0016,94020,2021,2,1,32,16.8
IDCJAC0016,94020,2021,2,2,33,13.7
IDCJAC0016,94020,2021,2,3,34,23.4
IDCJAC0016,94020,2021,2,4,35,18.4
IDCJAC0016,94020,2021,2,5,36,10.1
IDCJAC0016,94020,2021,2,6,37,15.1
IDCJAC0016,94020,2021,2,7,38,15.6
IDCJAC0016,94020,2021,2,8,39,16.1
IDCJAC0016,94020,2021,2,9,40,14.3
IDCJAC0016,94020,2021,2,10,41,26.4
IDCJAC0016,94020,2021,2,11,42,15.1
IDCJAC0016,94020,2021,2,12,43,12.9
IDCJAC0016,94020,2021,2,13,44,19.2
IDCJAC0016,94020,2021,2,14,45,20.3
IDCJAC0016,94020,2021,2,15,46,10
IDCJAC0016,94020,2021,2,16,47,23.9
IDCJAC0016,94020,2021,2,17,48,25
IDCJAC0016,94020,2021,2,18,49,24.7
IDCJAC0016,94020,2021,2,19,50,24.5
IDCJAC0016,94020,2021,2,20,51,9
IDCJAC0016,94020,2021,2,21,52,18.3
IDCJAC0016,94020,2021,2,22,53,11.8
IDCJAC0016,94020,2021,2,23,54,17.7
IDCJAC0016,94020,2021,2,24,55,18
IDCJAC0016,94020,2021,2,25,56,12.5
IDCJAC0016,94020,2021,2,26,57,15.5
IDCJAC0016,94020,2021,2,27,58,15.5
IDCJAC0016,94020,2021,2,28,59,19.7
IDCJAC0016,94020,2021,3,1,60,8.9
IDCJAC0016,94020,2021,3,2,61,13.8
IDCJAC0016,94020,2021,3,3,62,5.5
IDCJAC0016,94020,2021,3,4,63,14.5
IDCJAC0016,94020,2021,3,5,64,6.3
IDCJAC0016,94020,2021,3,6,65,11
IDCJAC0016,94020,2021,3,7,66,14.3
IDCJAC0016,94020,2021,3,8,67,7.7
IDCJAC0016,94020,2021,3,9,68,14.6
IDCJAC0016,94020,2021,3,10,69,12.4
IDCJAC0016,94020,2021,3,11,70,18
IDCJAC0016,94020,2021,3,12,71,15.9
IDCJAC0016,94020,2021,3,13,72,5.4
IDCJAC0016,94020,2021,3,14,73,14.3
IDCJAC0016,94020,2021,3,15,74,14
IDCJAC0016,94020,2021,3,16,75,16.6
IDCJAC0016,94020,2021,3,17,76,18.4
IDCJAC0016,94020,2021,3,18,77,18.2
IDCJAC0016,94020,2021,3,19,78,18
IDCJAC0016,94020,2021,3,20,79,17.6
IDCJAC0016,94020,2021,3,21,80,17.5
IDCJAC0016,94020,2021,3,22,81,16.8
IDCJAC0016,94020,2021,3,23,82,15.3
IDCJAC0016,94020,2021,3,24,83,2.9
IDCJAC0016,94020,2021,3,25,84,3.3
IDCJAC0016,94020,2021,3,26,85,11.4
IDCJAC0016,94020,2021,3,27,86,8.1
IDCJAC0016,94020,2021,3,28,87,9.4
IDCJAC0016,94020,2021,3,29,88,9.6
IDCJAC0016,94020,2021,3,30,89,12.8
IDCJAC0016,94020,2021,3,31,90,8.8
IDCJAC0016,94020,2021,4,1,91,8.6
IDCJAC0016,94020,2021,4,2,92,13.2
IDCJAC0016,94020,2021,4,3,93,14.6
IDCJAC0016,94020,2021,4,4,94,12.2
IDCJAC0016,94020,2021,4,5,95,13.1
IDCJAC0016,94020,2021,4,6,96,14
IDCJAC0016,94020,2021,4,7,97,13.8
IDCJAC0016,94020,2021,4,8,98,3.3
IDCJAC0016,94020,2021,4,9,99,9.4
IDCJAC0016,94020,2021,4,10,100,8.3
IDCJAC0016,94020,2021,4,11,101,5.5
IDCJAC0016,94020,2021,4,12,102,7.5
IDCJAC0016,94020,2021,4,13,103,8.2
IDCJAC0016,94020,2021,4,14,104,9.5
IDCJAC0016,94020,2021,4,15,105,7.2
IDCJAC0016,94020,2021,4,16,106,8.5
IDCJAC0016,94020,2021,4,17,107,7.3
IDCJAC0016,94020,2021,4,18,108,2.7
IDCJAC0016,94020,2021,4,19,109,5.3
IDCJAC0016,94020,2021,4,20,110,4.1
IDCJAC0016,94020,2021,4,21,111,9.5
IDCJAC0016,94020,2021,4,22,112,4.1
IDCJAC0016,94020,2021,4,23,113,3.9
IDCJAC0016,94020,2021,4,24,114,8
IDCJAC0016,94020,2021,4,25,115,5.4
IDCJAC0016,94020,2021,4,26,116,6.8
IDCJAC0016,94020,2021,4,27,117,9.5
IDCJAC0016,94020,2021,4,28,118,7
IDCJAC0016,94020,2021,4,29,119,5.7
IDCJAC0016,94020,2021,4,30,120,9.8
IDCJAC0016,94020,2021,5,1,121,9.8
IDCJAC0016,94020,2021,5,2,122,7.8
IDCJAC0016,94020,2021,5,3,123,1.6
IDCJAC0016,94020,2021,5,4,124,7.9
IDCJAC0016,94020,2021,5,5,125,6.5
IDCJAC0016,94020,2021,5,6,126,8.6
IDCJAC0016,94020,2021,5,7,127,3.2
IDCJAC0016,94020,2021,5,8,128,4.4
IDCJAC0016,94020,2021,5,9,129,4.5
IDCJAC0016,94020,2021,5,10,130,3.7
IDCJAC0016,94020,2021,5,11,131,5.9
IDCJAC0016,94020,2021,5,12,132,7.8
IDCJAC0016,94020,2021,5,13,133,2.1
IDCJAC0016,94020,2021,5,14,134,4.2
IDCJAC0016,94020,2021,5,15,135,7.4
IDCJAC0016,94020,2021,5,16,136,3.1
IDCJAC0016,94020,2021,5,17,137,6
IDCJAC0016,94020,2021,5,18,138,7.8
IDCJAC0016,94020,2021,5,19,139,1
IDCJAC0016,94020,2021,5,20,140,4.6
IDCJAC0016,94020,2021,5,21,141,7.3
IDCJAC0016,94020,2021,5,22,142,7.7
IDCJAC0016,94020,2021,5,23,143,6.8
IDCJAC0016,94020,2021,5,24,144,5.6
IDCJAC0016,94020,2021,5,25,145,2.6
IDCJAC0016,94020,2021,5,26,146,3.1
IDCJAC0016,94020,2021,5,27,147,4.5
IDCJAC0016,94020,2021,5,28,148,5.5
IDCJAC0016,94020,2021,5,29,149,4.2
IDCJAC0016,94020,2021,5,30,150,4.1
IDCJAC0016,94020,2021,5,31,151,6.5
IDCJAC0016,94020,2021,6,1,152,3.4
IDCJAC0016,94020,2021,6,2,153,3.1
IDCJAC0016,94020,2021,6,3,154,2.1
IDCJAC0016,94020,2021,6,4,155,6
IDCJAC0016,94020,2021,6,5,156,4.1
IDCJAC0016,94020,2021,6,6,157,4.1
IDCJAC0016,94020,2021,6,7,158,5.6
IDCJAC0016,94020,2021,6,8,159,3
IDCJAC0016,94020,2021,6,9,160,2.8
IDCJAC0016,94020,2021,6,10,161,1.6
IDCJAC0016,94020,2021,6,11,162,1.5
IDCJAC0016,94020,2021,6,12,163,2
IDCJAC0016,94020,2021,6,13,164,2.9
IDCJAC0016,94020,2021,6,14,165,5
IDCJAC0016,94020,2021,6,15,166,4.6
IDCJAC0016,94020,2021,6,16,167,5.2
IDCJAC0016,94020,2021,6,17,168,2.6
IDCJAC0016,94020,2021,6,18,169,4.2
IDCJAC0016,94020,2021,6,19,170,4.6
IDCJAC0016,94020,2021,6,20,171,6.5
IDCJAC0016,94020,2021,6,21,172,5.8
IDCJAC0016,94020,2021,6,22,173,5.3
IDCJAC0016,94020,2021,6,23,174,4.1
IDCJAC0016,94020,2021,6,24,175,6.1
IDCJAC0016,94020,2021,6,25,176,5.8
IDCJAC0016,94020,2021,6,26,177,6.1
IDCJAC0016,94020,2021,6,27,178,4.8
IDCJAC0016,94020,2021,6,28,179,6.8
IDCJAC0016,94020,2021,6,29,180,6.8
IDCJAC0016,94020,2021,6,30,181,6.7
IDCJAC0016,94020,2021,7,1,182,6.3
IDCJAC0016,94020,2021,7,2,183,3
IDCJAC0016,94020,2021,7,3,184,6
IDCJAC0016,94020,2021,7,4,185,1.9
IDCJAC0016,94020,2021,7,5,186,5.6
IDCJAC0016,94020,2021,7,6,187,5.4
IDCJAC0016,94020,2021,7,7,188,4.9
IDCJAC0016,94020,2021,7,8,189,5.8
IDCJAC0016,94020,2021,7,9,190,7.3
IDCJAC0016,94020,2021,7,10,191,7.3
IDCJAC0016,94020,2021,7,11,192,7.4
IDCJAC0016,94020,2021,7,12,193,5.1
IDCJAC0016,94020,2021,7,13,194,5.7
IDCJAC0016,94020,2021,7,14,195,3.7
IDCJAC0016,94020,2021,7,15,196,4
IDCJAC0016,94020,2021,7,16,197,5.3
IDCJAC0016,94020,2021,7,17,198,6.1
IDCJAC0016,94020,2021,7,18,199,6.1
IDCJAC0016,94020,2021,7,19,200,2.2
IDCJAC0016,94020,2021,7,20,201,6.8
IDCJAC0016,94020,2021,7,21,202,7.1
IDCJAC0016,94020,2021,7,22,203,6.5
IDCJAC0016,94020,2021,7,23,204,8.1
IDCJAC0016,94020,2021,7,24,205,5.2
IDCJAC0016,94020,2021,7,25,206,3.6
IDCJAC0016,94020,2021,7,26,207,4.1
IDCJAC0016,94020,2021,7,27,208,6.7
IDCJAC0016,94020,2021,7,28,209,6.8
IDCJAC0016,94020,2021,7,29,210,6.4
IDCJAC0016,94020,2021,7,30,211,4.9
IDCJAC0016,94020,2021,7,31,212,6.4
IDCJAC0016,94020,2021,8,1,213,6.3
IDCJAC0016,94020,2021,8,2,214,8.5
IDCJAC0016,94020,2021,8,3,215,7.1
IDCJAC0016,94020,2021,8,4,216,6.6
IDCJAC0016,94020,2021,8,5,217,5.9
IDCJAC0016,94020,2021,8,6,218,5
IDCJAC0016,94020,2021,8,7,219,6
IDCJAC0016,94020,2021,8,8,220,9.8
IDCJAC0016,94020,2021,8,9,221,8.5
IDCJAC0016,94020,2021,8,10,222,9.7
IDCJAC0016,94020,2021,8,11,223,6.5
IDCJAC0016,94020,2021,8,12,224,8.5
IDCJAC0016,94020,2021,8,13,225,7.8
IDCJAC0016,94020,2021,8,14,226,7.7
IDCJAC0016,94020,2021,8,15,227,4.7
IDCJAC0016,94020,2021,8,16,228,8.9
IDCJAC0016,94020,2021,8,17,229,9.5
IDCJAC0016,94020,2021,8,18,230,6.6
IDCJAC0016,94020,2021,8,19,231,11
IDCJAC0016,94020,2021,8,20,232,6.4
IDCJAC0016,94020,2021,8,21,233,9.2
IDCJAC0016,94020,2021,8,22,234,8.5
IDCJAC0016,94020,2021,8,23,235,6.2
IDCJAC0016,94020,2021,8,24,236,10.7
IDCJAC0016,94020,2021,8,25,237,9.1
IDCJAC0016,94020,2021,8,26,238,7.3
IDCJAC0016,94020,2021,8,27,239,5.4
IDCJAC0016,94020,2021,8,28,240,8.8
IDCJAC0016,94020,2021,8,29,241,7.6
IDCJAC0016,94020,2021,8,30,242,11
IDCJAC0016,94020,2021,8,31,243,7.9
IDCJAC0016,94020,2021,9,1,244,13.6
IDCJAC0016,94020,2021,9,2,245,13.9
IDCJAC0016,94020,2021,9,3,246,3.5
