Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Daily global solar exposure (MJ/m*m)
IDCJAC0016,94020,2021,9,4,247,9.4
IDCJAC0016,94020,2021,9,5,248,11.5
IDCJAC0016,94020,2021,9,6,249,13.1
IDCJAC0016,94020,2021,9,7,250,9.8
IDCJAC0016,94020,2021,9,8,251,9.9
IDCJAC0016,94020,2021,9,9,252,3.1
IDCJAC0016,94020,2021,9,10,253,9.2
IDCJAC0016,94020,2021,9,11,254,10.5
IDCJAC0016,94020,2021,9,12,255,9
IDCJAC0016,94020,2021,9,13,256,10.2
IDCJAC0016,94020,2021,9,14,257,10.3
IDCJAC0016,94020,2021,9,15,258,12.8
IDCJAC0016,94020,2021,9,16,259,14.4
IDCJAC0016,94020,2021,9,17,260,12.5
IDCJAC0016,94020,2021,9,18,261,14.9
IDCJAC0016,94020,2021,9,19,262,11.5
IDCJAC0016,94020,2021,9,20,263,10.2
IDCJAC0016,94020,2021,9,21,264,12.7
IDCJAC0016,94020,2021,9,22,265,17.2
IDCJAC0016,94020,2021,9,23,266,14.8
IDCJAC0016,94020,2021,9,24,267,8.4
IDCJAC0016,94020,2021,9,25,268,15.6
IDCJAC0016,94020,2021,9,26,269,16.1
IDCJAC0016,94020,2021,9,27,270,14.9
IDCJAC0016,94020,2021,9,28,271,9.9
IDCJAC0016,94020,2021,9,29,272,15.2
IDCJAC0016,94020,2021,9,30,273,9.3
IDCJAC0016,94020,2021,10,1,274,5.8
IDCJAC0016,94020,2021,10,2,275,7.3
IDCJAC0016,94020,2021,10,3,276,10.5
IDCJAC0016,94020,2021,10,4,277,9.2
IDCJAC0016,94020,2021,10,5,278,10.4
IDCJAC0016,94020,2021,10,6,279,16.3
IDCJAC0016,94020,2021,10,7,280,18.9
IDCJAC0016,94020,2021,10,8,281,16.7
IDCJAC0016,94020,2021,10,9,282,11.5
IDCJAC0016,94020,2021,10,10,283,18.6
IDCJAC0016,94020,2021,10,11,284,14.7
IDCJAC0016,94020,2021,10,12,285,22
IDCJAC0016,94020,2021,10,13,286,18.6
IDCJAC0016,94020,2021,10,14,287,10.3
IDCJAC0016,94020,2021,10,15,288,5.3
IDCJAC0016,94020,2021,10,16,289,15.7
IDCJAC0016,94020,2021,10,17,290,15.2
IDCJAC0016,94020,2021,10,18,291,12.5
IDCJAC0016,94020,2021,10,19,292,17.7
IDCJAC0016,94020,2021,10,20,293,23.7
IDCJAC0016,94020,2021,10,21,294,24.3
IDCJAC0016,94020,2021,10,22,295,8.4
IDCJAC0016,94020,2021,10,23,296,6.4
IDCJAC0016,94020,2021,10,24,297,14
IDCJAC0016,94020,2021,10,25,298,6.1
IDCJAC0016,94020,2021,10,26,299,20.4
IDCJAC0016,94020,2021,10,27,300,25.1
IDCJAC0016,94020,2021,10,28,301,15.1
IDCJAC0016,94020,2021,10,29,302,3.9
IDCJAC0016,94020,2021,10,30,303,20
IDCJAC0016,94020,2021,10,31,304,8.5
IDCJAC0016,94020,2021,11,1,305,16.1
IDCJAC0016,94020,2021,11,2,306,26.4
IDCJAC0016,94020,2021,11,3,307,5.3
IDCJAC0016,94020,2021,11,4,308,27.1
IDCJAC0016,94020,2021,11,5,309,27.3
IDCJAC0016,94020,2021,11,6,310,12.7
IDCJAC0016,94020,2021,11,7,311,17
IDCJAC0016,94020,2021,11,8,312,17.9
IDCJAC0016,94020,2021,11,9,313,20.1
IDCJAC0016,94020,2021,11,10,314,9.1
IDCJAC0016,94020,2021,11,11,315,16.2
IDCJAC0016,94020,2021,11,12,316,11.1
IDCJAC0016,94020,2021,11,13,317,18.1
IDCJAC0016,94020,2021,11,14,318,19
IDCJAC0016,94020,2021,11,15,319,22
IDCJAC0016,94020,2021,11,16,320,13.6
IDCJAC0016,94020,2021,11,17,321,17.6
IDCJAC0016,94020,2021,11,18,322,6.3
IDCJAC0016,94020,2021,11,19,323,17.5
IDCJAC0016,94020,2021,11,20,324,15.7
IDCJAC0016,94020,2021,11,21,325,15.9
IDCJAC0016,94020,2021,11,22,326,26.8
IDCJAC0016,94020,2021,11,23,327,25.1
IDCJAC0016,94020,2021,11,24,328,10.8
IDCJAC0016,94020,2021,11,25,329,8.9
IDCJAC0016,94020,2021,11,26,330,25
IDCJAC0016,94020,2021,11,27,331,29.6
IDCJAC0016,94020,2021,11,28,332,30.9
IDCJAC0016,94020,2021,11,29,333,31
IDCJAC0016,94020,2021,11,30,334,31.1
IDCJAC0016,94020,2021,12,1,335,18.5
IDCJAC0016,94020,2021,12,2,336,24.2
IDCJAC0016,94020,2021,12,3,337,28.3
IDCJAC0016,94020,2021,12,4,338,19.3
IDCJAC0016,94020,2021,12,5,339,29.4
IDCJAC0016,94020,2021,12,6,340,28.7
IDCJAC0016,94020,2021,12,7,341,20.1
IDCJAC0016,94020,2021,12,8,342,19
IDCJAC0016,94020,2021,12,9,343,18.6
IDCJAC0016,94020,2021,12,10,344,13.6
IDCJAC0016,94020,2021,12,11,345,20.3
IDCJAC0016,94020,2021,12,12,346,31.8
IDCJAC0016,94020,2021,12,13,347,23.1
IDCJAC0016,94020,2021,12,14,348,27.3
IDCJAC0016,94020,2021,12,15,349,20.7
IDCJAC0016,94020,2021,12,16,350,26.2
IDCJAC0016,94020,2021,12,17,351,29.8
IDCJAC0016,94020,2021,12,18,352,28.7
IDCJAC0016,94020,2021,12,19,353,20.7
IDCJAC0016,94020,2021,12,20,354,29.6
IDCJAC0016,94020,2021,12,21,355,16.3
IDCJAC0016,94020,2021,12,22,356,17.9
IDCJAC0016,94020,2021,12,23,357,19.8
IDCJAC0016,94020,2021,12,24,358,18.9
IDCJAC0016,94020,2021,12,25,359,21.7
IDCJAC0016,94020,2021,12,26,360,21.4
IDCJAC0016,94020,2021,12,27,361,22.1
IDCJAC0016,94020,2021,12,28,362,31.8
IDCJAC0016,94020,2021,12,29,363,30.1
IDCJAC0016,94020,2021,12,30,364,26.2
IDCJAC0016,94020,2021,12,31,365,27.7
