Product code,Bureau of Meteorology station number,Year,Month,Day,day_t,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,94020,2021,4,3,93,12.5,1,Y
IDCJAC0011,94020,2021,4,4,94,12.2,1,Y
IDCJAC0011,94020,2021,4,5,95,11.4,1,Y
IDCJAC0011,94020,2021,4,6,96,5.7,1,Y
IDCJAC0011,94020,2021,4,7,97,8.2,1,Y
IDCJAC0011,94020,2021,4,8,98,10.1,1,Y
IDCJAC0011,94020,2021,4,9,99,7.8,1,Y
IDCJAC0011,94020,2021,4,10,100,6.6,1,Y
IDCJAC0011,94020,2021,4,11,101,4.8,1,Y
IDCJAC0011,94020,2021,4,12,102,5.2,1,Y
IDCJAC0011,94020,2021,4,13,103,3.1,1,Y
IDCJAC0011,94020,2021,4,14,104,6.1,1,Y
IDCJAC0011,94020,2021,4,15,105,8.7,1,Y
IDCJAC0011,94020,2021,4,16,106,3.9,1,Y
IDCJAC0011,94020,2021,4,17,107,7.6,1,Y
IDCJAC0011,94020,2021,4,18,108,11.1,1,Y
IDCJAC0011,94020,2021,4,19,109,11.9,1,Y
IDCJAC0011,94020,2021,4,20,110,7.7,1,Y
IDCJAC0011,94020,2021,4,21,111,0.2,1,Y
IDCJAC0011,94020,2021,4,22,112,3.3,1,Y
IDCJAC0011,94020,2021,4,23,113,6.4,1,Y
IDCJAC0011,94020,2021,4,24,114,9,1,Y
IDCJAC0011,94020,2021,4,25,115,5.9,1,Y
IDCJAC0011,94020,2021,4,26,116,8.8,1,Y
IDCJAC0011,94020,2021,4,27,117,5.1,1,Y
IDCJAC0011,94020,2021,4,28,118,5.2,1,Y
IDCJAC0011,94020,2021,4,29,119,7.3,1,Y
IDCJAC0011,94020,2021,4,30,120,7.7,1,Y
IDCJAC0011,94020,2021,5,1,121,6.1,1,Y
IDCJAC0011,94020,2021,5,2,122,7.6,1,Y
IDCJAC0011,94020,2021,5,3,123,10.1,1,Y
IDCJAC0011,94020,2021,5,4,124,2.2,1,Y
IDCJAC0011,94020,2021,5,5,125,3.5,1,Y
IDCJAC0011,94020,2021,5,6,126,7,1,Y
IDCJAC0011,94020,2021,5,7,127,6.6,1,Y
IDCJAC0011,94020,2021,5,8,128,9.5,1,Y
IDCJAC0011,94020,2021,5,9,129,4,1,Y
IDCJAC0011,94020,2021,5,10,130,10.5,1,Y
IDCJAC0011,94020,2021,5,11,131,3.7,1,Y
IDCJAC0011,94020,2021,5,12,132,0,1,Y
IDCJAC0011,94020,2021,5,13,133,1.8,1,Y
IDCJAC0011,94020,2021,5,14,134,3.6,1,Y
IDCJAC0011,94020,2021,5,15,135,1.8,1,Y
IDCJAC0011,94020,2021,5,16,136,4.5,1,Y
IDCJAC0011,94020,2021,5,17,137,3.2,1,Y
IDCJAC0011,94020,2021,5,18,138,6.6,1,Y
IDCJAC0011,94020,2021,5,19,139,11.5,1,Y
IDCJAC0011,94020,2021,5,20,140,10.3,1,Y
IDCJAC0011,94020,2021,5,21,141,5.5,1,Y
IDCJAC0011,94020,2021,5,22,142,7.3,1,Y
IDCJAC0011,94020,2021,5,23,143,8.6,1,Y
IDCJAC0011,94020,2021,5,24,144,4.1,1,Y
IDCJAC0011,94020,2021,5,25,145,5.7,1,Y
IDCJAC0011,94020,2021,5,26,146,8,1,Y
IDCJAC0011,94020,2021,5,27,147,5,1,Y
IDCJAC0011,94020,2021,5,28,148,3.4,1,Y
IDCJAC0011,94020,2021,5,29,149,2.6,1,Y
IDCJAC0011,94020,2021,5,30,150,3.5,1,Y
IDCJAC0011,94020,2021,5,31,151,0.5,1,Y
IDCJAC0011,94020,2021,6,1,152,1.5,1,Y
IDCJAC0011,94020,2021,6,2,153,8.5,1,Y
IDCJAC0011,94020,2021,6,3,154,10.1,1,Y
IDCJAC0011,94020,2021,6,4,155,5.5,1,Y
IDCJAC0011,94020,2021,6,5,156,4,1,Y
IDCJAC0011,94020,2021,6,6,157,5.1,1,Y
